teams,year,revenue,operating profit,employee count,currency,revenue_usd,operating_profit_usd,revenue_real_2024usd,operating_profit_real_2024usd,profit_margin_percent,budget_cap,team_tier,top_tier
Racing Bulls,2016,91673000,14339000,400,euro,99923570,15629510,128801481.7,20146438.39,15.64146477,0,Lower,0
Racing Bulls,2017,100940000,8415000,400,euro,110024600,9172350,138851045.2,11575505.7,8.336635625,0,Lower,0
Racing Bulls,2018,101544000,10458000,400,euro,110682960,11399220,136361406.7,14043839.04,10.29898369,0,Lower,0
Racing Bulls,2019,113770000,10166000,400,euro,124009300,11080940,150051253,13407937.4,8.935571768,0,Lower,0
Racing Bulls,2020,120293000,9646000,400,euro,131119370,10514140,156687647.2,12564397.3,8.018754208,0,Lower,0
Racing Bulls,2021,101702000,13880000,400,euro,110855180,15129200,126374905.2,17247288,13.64771588,1,Lower,0
Racing Bulls,2022,89762000,12872000,400,euro,97840580,14030480,102634768.4,14717973.52,14.34014394,1,Lower,0
Racing Bulls,2023,131299000,15651000,400,euro,143115910,17059590,144260837.3,17196066.72,11.92012125,1,Lower,0
Haas,2016,100028000,5098000,400,British Pounds,127035560,6474460,163748836.8,8345578.94,5.09657296,0,Lower,0
Haas,2017,84282000,5141000,400,British Pounds,107038140,6529070,135082132.7,8239686.34,6.099760328,0,Lower,0
Haas,2018,102718000,6068000,400,British Pounds,130451860,7706360,160716691.5,9494235.52,5.907435892,0,Lower,0
Haas,2019,112934000,7848000,400,British Pounds,143426180,9966960,173545677.8,12060021.6,6.949191563,0,Lower,0
Haas,2020,79149000,4199000,400,British Pounds,100519230,5332730,120120479.9,6372612.35,5.305183894,0,Lower,0
Haas,2021,87463000,4644000,400,British Pounds,111078010,5897880,126628931.4,6723583.2,5.309673805,1,Lower,0
Haas,2022,109716000,6989000,400,British Pounds,139339320,8876030,146166946.7,9310955.47,6.370082759,1,Lower,0
Haas,2023,113434000,6674000,300,British Pounds,144061180,8475980,145213669.4,8543787.84,5.88359751,1,Lower,0
Red Bull Racing,2016,197949000,905000,400,British Pounds,251395230,1149350,324048451.5,1481512.15,0.457188468,0,Top,1
Red Bull Racing,2017,231306000,1111000,400,British Pounds,293758620,1410970,370723378.4,1780644.14,0.480316118,0,Top,1
Red Bull Racing,2018,245145000,866000,400,British Pounds,311334150,1099820,383563672.8,1354978.24,0.353260315,0,Top,1
Red Bull Racing,2019,245438000,1036000,400,British Pounds,311706260,1315720,377164574.6,1592021.2,0.422102527,0,Top,1
Red Bull Racing,2020,229754000,1200000,400,British Pounds,291787580,1524000,348686158.1,1821180,0.522297762,0,Top,1
Red Bull Racing,2021,238351000,1571000,400,British Pounds,302705770,1995170,345084577.8,2274493.8,0.659111982,1,Top,1
Red Bull Racing,2022,278026000,2248000,400,British Pounds,353093020,2854960,370394578,2994853.04,0.808557473,1,Top,1
Red Bull Racing,2023,307472000,2915000,400,British Pounds,390489440,3702050,393613355.5,3731666.4,0.948053807,1,Top,1
Red Bull Racing,2024,314409000,382000,400,British Pounds,399299430,485140,399299430,485140,0.121497794,1,Top,1
Mercedes,2016,140439000,13525000,1000,British Pounds,178357530,17176750,229902856.2,22140830.75,9.63051574,0,Top,1
Mercedes,2017,191999000,8898000,1000,British Pounds,243838730,11300460,307724477.3,14261180.52,4.634399137,0,Top,1
Mercedes,2018,195495000,8781000,1000,British Pounds,248278650,11151870,305879296.8,13739103.84,4.491674979,0,Top,1
Mercedes,2019,237770000,11078000,1000,British Pounds,301967900,14069060,365381159,17023562.6,4.659124364,0,Top,1
Mercedes,2020,195357000,1294000,1000,British Pounds,248103390,1643380,296483551.1,1963839.1,0.662377084,0,Top,1
