teams,year,revenue,operating profit,employee count,currency,revenue_usd,operating_profit_usd,revenue_real_2024usd,operating_profit_real_2024usd,profit_margin_percent,budget_cap,team_tier,top_tier
Racing Bulls,2016,91673000.0,14339000.0,400,euro,99923570.0,15629510.000000002,128801481.72999999,20146438.39,15.641464771524879,0,Lower,0
Racing Bulls,2017,100940000.0,8415000.0,400,euro,110024600.00000001,9172350.0,138851045.20000002,11575505.7,8.336635625123833,0,Lower,0
Racing Bulls,2018,101544000.0,10458000.0,400,euro,110682960.00000001,11399220.0,136361406.72000003,14043839.04,10.298983691798625,0,Lower,0
Racing Bulls,2019,113770000.0,10166000.0,400,euro,124009300.00000001,11080940.0,150051253.0,13407937.4,8.935571767601301,0,Lower,0
Racing Bulls,2020,120293000.0,9646000.0,400,euro,131119370.00000001,10514140.0,156687647.15000004,12564397.3,8.018754208474308,0,Lower,0
Racing Bulls,2021,101702000.0,13880000.0,400,euro,110855180.00000001,15129200.000000002,126374905.2,17247288.0,13.647715875793986,1,Lower,0
Racing Bulls,2022,89762000.0,12872000.0,400,euro,97840580.0,14030480.000000002,102634768.41999999,14717973.520000001,14.340143936186807,1,Lower,0
Racing Bulls,2023,131299000.0,15651000.0,400,euro,143115910.0,17059590.0,144260837.28,17196066.72,11.920121249971437,1,Lower,0
Haas,2016,100028000.0,5098000.0,400,British Pounds,127035560.0,6474460.0,163748836.84,8345578.9399999995,5.096572959571319,0,Lower,0
Haas,2017,84282000.0,5141000.0,400,British Pounds,107038140.0,6529070.0,135082132.68,8239686.34,6.099760328421252,0,Lower,0
Haas,2018,102718000.0,6068000.0,400,British Pounds,130451860.0,7706360.0,160716691.52,9494235.52,5.907435892443388,0,Lower,0
Haas,2019,112934000.0,7848000.0,400,British Pounds,143426180.0,9966960.0,173545677.79999998,12060021.6,6.949191563213914,0,Lower,0
Haas,2020,79149000.0,4199000.0,400,British Pounds,100519230.0,5332730.0,120120479.85000001,6372612.350000001,5.305183893668903,0,Lower,0
Haas,2021,87463000.0,4644000.0,400,British Pounds,111078010.0,5897880.0,126628931.39999999,6723583.199999999,5.309673804923225,1,Lower,0
Haas,2022,109716000.0,6989000.0,400,British Pounds,139339320.0,8876030.0,146166946.67999998,9310955.469999999,6.370082759123556,1,Lower,0
Haas,2023,113434000.0,6674000.0,400,British Pounds,144061180.0,8475980.0,145213669.44,8543787.84,5.883597510446603,1,Lower,0
Red Bull Racing,2016,197949000.0,905000.0,400,British Pounds,251395230.0,1149350.0,324048451.46999997,1481512.15,0.45718846773663924,0,Top,1
Red Bull Racing,2017,231306000.0,1111000.0,400,British Pounds,293758620.0,1410970.0,370723378.44,1780644.1400000001,0.4803161180427659,0,Top,1
Red Bull Racing,2018,245145000.0,866000.0,400,British Pounds,311334150.0,1099820.0,383563672.8,1354978.24,0.353260315323584,0,Top,1
Red Bull Racing,2019,245438000.0,1036000.0,400,British Pounds,311706260.0,1315720.0,377164574.59999996,1592021.2,0.42210252691107325,0,Top,1
Red Bull Racing,2020,229754000.0,1200000.0,400,British Pounds,291787580.0,1524000.0,348686158.1,1821180.0,0.52229776195409,0,Top,1
Red Bull Racing,2021,238351000.0,1571000.0,400,British Pounds,302705770.0,1995170.0,345084577.79999995,2274493.8,0.6591119819090333,1,Top,1
Red Bull Racing,2022,278026000.0,2248000.0,400,British Pounds,353093020.0,2854960.0,370394577.97999996,2994853.04,0.8085574730420897,1,Top,1
Red Bull Racing,2023,307472000.0,2915000.0,400,British Pounds,390489440.0,3702050.0,393613355.52,3731666.4,0.9480538065254722,1,Top,1
Red Bull Racing,2024,314409000.0,382000.0,400,British Pounds,399299430.0,485140.0,399299430.0,485140.0,0.12149779427433693,1,Top,1
Mercedes,2016,140439000.0,13525000.0,1000,British Pounds,178357530.0,17176750.0,229902856.17,22140830.75,9.630515739929791,0,Top,1
Mercedes,2017,191999000.0,8898000.0,1000,British Pounds,243838730.0,11300460.0,307724477.26,14261180.52,4.634399137495508,0,Top,1
Mercedes,2018,195495000.0,8781000.0,1000,British Pounds,248278650.0,11151870.0,305879296.8,13739103.84,4.491674978899716,0,Top,1
Mercedes,2019,237770000.0,11078000.0,1000,British Pounds,301967900.0,14069060.0,365381159.0,17023562.599999998,4.659124363881061,0,Top,1
Mercedes,2020,195357000.0,1294000.0,1000,British Pounds,248103390.0,1643380.0,296483551.05,1963839.1,0.6623770840051802,0,Top,1
Mercedes,2021,236238000.0,10661000.0,1000,British Pounds,300022260.0,13539470.0,342025376.4,15434995.799999999,4.512821815287972,1,Top,1
Mercedes,2022,267939000.0,10345000.0,1000,British Pounds,340282530.0,13138150.0,356956373.96999997,13781919.35,3.8609534259663585,1,Top,1
Mercedes,2023,359840000.0,17973000.0,1000,British Pounds,456996800.0,22825710.0,460652774.4,23008315.68,4.9947198755002225,1,Top,1
Mercedes,2024,313042000.0,33279000.0,1000,British Pounds,397563340.0,42264330.0,397563340.0,42264330.0,10.630841867864376,1,Top,1
McLaren,2016,179781000.0,-3372000.0,1000,British Pounds,228321870.0,-4282440.0,294306890.43,-5520065.159999999,-1.8756153319872508,0,Top,1
McLaren,2017,196552000.0,-15090000.0,1000,British Pounds,249621040.0,-19164300.0,315021752.48,-24185346.6,-7.67735764581383,0,Top,1
McLaren,2018,123641000.0,-102363000.0,1000,British Pounds,157024070.0,-130001010.0,193453654.24,-160161244.32,-82.79049829749032,0,Top,1
