year,position,points,wins,constructor_id,constructor_name,nationality,constructor_id_original,constructor_name_original,period,points_per_win,competitive_index,is_major
2016,1,765.0,19,mercedes,Mercedes,German,mercedes,Mercedes,Pre-Budget Cap (2016-2020),40.052356020942405,765.0,True
2016,2,468.0,2,red_bull,Red Bull,Austrian,red_bull,Red Bull,Pre-Budget Cap (2016-2020),222.85714285714286,234.0,True
2016,3,398.0,0,ferrari,Ferrari,Italian,ferrari,Ferrari,Pre-Budget Cap (2016-2020),3980.0,132.66666666666666,True
2016,4,173.0,0,aston_martin,Aston Martin,Indian,force_india,Force India,Pre-Budget Cap (2016-2020),1730.0,43.25,True
2016,5,138.0,0,williams,Williams,British,williams,Williams,Pre-Budget Cap (2016-2020),1380.0,27.6,True
2016,6,76.0,0,mclaren,McLaren,British,mclaren,McLaren,Pre-Budget Cap (2016-2020),760.0,12.666666666666666,True
2016,7,63.0,0,alphatauri,AlphaTauri/RB,Italian,toro_rosso,Toro Rosso,Pre-Budget Cap (2016-2020),630.0,9.0,True
2016,8,29.0,0,haas,Haas,American,haas,Haas F1 Team,Pre-Budget Cap (2016-2020),290.0,3.625,True
2016,9,8.0,0,alpine,Alpine,French,renault,Renault,Pre-Budget Cap (2016-2020),80.0,0.8888888888888888,True
2016,10,2.0,0,alfa,Alfa Romeo/Sauber,Swiss,sauber,Sauber,Pre-Budget Cap (2016-2020),20.0,0.2,True
2017,1,668.0,12,mercedes,Mercedes,German,mercedes,Mercedes,Pre-Budget Cap (2016-2020),55.20661157024794,668.0,True
2017,2,522.0,5,ferrari,Ferrari,Italian,ferrari,Ferrari,Pre-Budget Cap (2016-2020),102.3529411764706,261.0,True
2017,3,368.0,3,red_bull,Red Bull,Austrian,red_bull,Red Bull,Pre-Budget Cap (2016-2020),118.70967741935483,122.66666666666667,True
2017,4,187.0,0,aston_martin,Aston Martin,Indian,force_india,Force India,Pre-Budget Cap (2016-2020),1870.0,46.75,True
2017,5,83.0,0,williams,Williams,British,williams,Williams,Pre-Budget Cap (2016-2020),830.0,16.6,True
